#employee_id|full_name|department_id|job_id1|department_id1|department_name|location_id|location_id1|street_address|postal_code|city|state_province|country_id|country_id1|country_name|region_id|region_id1|region_name|job_id|job_title|min_salary|max_salary
100|Steven Kin|9|4|9|Executive|1700|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas|4|President|20000.00|40000.00
101|Neena Koch|9|5|9|Executive|1700|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas|5|Administration Vice President|15000.00|30000.00
102|Lex De Haa|9|5|9|Executive|1700|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas|5|Administration Vice President|15000.00|30000.00
103|Alexander |6|9|6|IT|1400|1400|2014 Jabberwocky Rd|26192|Southlake|Texas|US|US|United States of America|2|2|Americas|9|Programmer|4000.00|10000.00
104|Bruce Erns|6|9|6|IT|1400|1400|2014 Jabberwocky Rd|26192|Southlake|Texas|US|US|United States of America|2|2|Americas|9|Programmer|4000.00|10000.00
105|David Aust|6|9|6|IT|1400|1400|2014 Jabberwocky Rd|26192|Southlake|Texas|US|US|United States of America|2|2|Americas|9|Programmer|4000.00|10000.00
106|Valli Pata|6|9|6|IT|1400|1400|2014 Jabberwocky Rd|26192|Southlake|Texas|US|US|United States of America|2|2|Americas|9|Programmer|4000.00|10000.00
107|Diana Lore|6|9|6|IT|1400|1400|2014 Jabberwocky Rd|26192|Southlake|Texas|US|US|United States of America|2|2|Americas|9|Programmer|4000.00|10000.00
108|Nancy Gree|10|7|10|Finance|1700|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas|7|Finance Manager|8200.00|16000.00
109|Daniel Fav|10|6|10|Finance|1700|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas|6|Accountant|4200.00|9000.00
110|John Chen|10|6|10|Finance|1700|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas|6|Accountant|4200.00|9000.00
111|Ismael Sci|10|6|10|Finance|1700|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas|6|Accountant|4200.00|9000.00
112|Jose Manue|10|6|10|Finance|1700|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas|6|Accountant|4200.00|9000.00
113|Luis Popp|10|6|10|Finance|1700|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas|6|Accountant|4200.00|9000.00
